"Marengo - SNCF","05.30","05.50","06.10","06.30","06.50","07.10","07.30","07.50","08.10","08.30","08.50","09.10","09.30","09.50","10.10","10.30","10.50","11.10","11.30","11.50","12.10","12.30","12.50","13.10","13.30","13.50","14.10","14.30","14.50","15.10","15.30","15.50","16.10","16.30","16.50","17.10","17.30","17.50","18.10","18.30","18.50","19.10","19.30","19.50","20.10","20.30","21.00"
"Jean Jaur&egrave;s","05.32","05.52","06.12","06.32","06.52","07.12","07.32","07.52","08.12","08.32","08.52","09.12","09.32","09.52","10.12","10.32","10.52","11.12","11.32","11.52","12.12","12.32","12.52","13.12","13.32","13.52","14.13","14.33","14.53","15.13","15.33","15.53","16.13","16.33","16.53","17.13","17.33","17.53","18.13","18.33","18.53","19.13","19.33","19.53","20.13","20.32","21.02"
"Fran&ccedil;ois Verdier","05.34","05.54","06.14","06.34","06.54","07.14","07.34","07.54","08.15","08.35","08.55","09.16","09.36","09.56","10.16","10.36","10.56","11.16","11.36","11.56","12.16","12.36","12.56","13.16","13.36","13.56","14.17","14.37","14.57","15.17","15.38","15.58","16.18","16.39","16.59","17.19","17.39","17.59","18.19","18.37","18.57","19.17","19.37","19.57","20.17","20.36","21.06"
"Esquirol","05.35","05.56","06.16","06.36","06.56","07.16","07.36","07.56","08.17","08.37","08.57","09.19","09.39","09.59","10.19","10.39","10.59","11.19","11.39","11.59","12.19","12.39","12.59","13.19","13.39","13.59","14.20","14.40","15.00","15.20","15.42","16.02","16.22","16.43","17.03","17.23","17.44","18.04","18.24","18.41","19.01","19.21","19.40","20.00","20.20","20.38","21.08"
"Cours Dillon","05.37","05.58","06.18","06.38","06.58","07.18","07.38","07.58","08.19","08.39","08.59","09.21","09.41","10.01","10.21","10.41","11.01","11.21","11.41","12.01","12.21","12.41","13.01","13.21","13.41","14.02","14.23","14.43","15.03","15.23","15.44","16.04","16.24","16.45","17.05","17.25","17.46","18.06","18.26","18.43","19.03","19.23","19.42","20.02","20.22","20.40","21.10"
"St Cyprien - R&eacute;publique","05.38","05.59","06.19","06.39","06.59","07.19","07.39","07.59","08.20","08.40","09.01","09.23","09.43","10.03","10.23","10.43","11.03","11.23","11.43","12.03","12.23","12.43","13.03","13.23","13.43","14.04","14.25","14.45","15.05","15.25","15.46","16.06","16.26","16.47","17.07","17.27","17.48","18.08","18.28","18.45","19.05","19.25","19.44","20.04","20.24","20.41","21.11"
"Patte d&rsquo;Oie","05.39","06.01","06.21","06.41","07.01","07.21","07.41","08.01","08.23","08.43","09.04","09.26","09.46","10.06","10.26","10.46","11.06","11.26","11.46","12.06","12.26","12.46","13.06","13.26","13.46","14.07","14.28","14.48","15.08","15.28","15.50","16.10","16.30","16.51","17.11","17.31","17.52","18.12","18.32","18.49","19.09","19.28","19.47","20.07","20.27","20.44","21.14"
"Ar&egrave;nes","05.43","06.06","06.26","06.46","07.06","07.26","07.46","08.06","08.28","08.48","09.10","09.32","09.52","10.12","10.32","10.52","11.12","11.32","11.52","12.12","12.32","12.52","13.12","13.32","13.52","14.12","14.33","14.53","15.13","15.33","15.55","16.15","16.35","16.56","17.16","17.37","17.58","18.18","18.38","18.55","19.15","19.33","19.52","20.12","20.32","20.49","21.19"
"Lyc&eacute;e Polyvalent","05.46","06.09","06.29","06.49","07.09","07.30","07.50","08.11","08.33","08.53","09.15","09.37","09.57","10.17","10.37","10.57","11.17","11.37","11.57","12.17","12.37","12.57","13.17","13.37","13.57","14.17","14.38","14.58","15.18","15.39","16.01","16.21","16.42","17.03","17.23","17.44","18.05","18.25","18.44","19.01","19.21","19.38","19.57","20.17","20.36","20.53","21.23"
"Mirail Universit&eacute;","05.50","06.13","06.33","06.53","07.13","07.35","07.55","08.16","08.38","08.58","09.20","09.42","10.02","10.22","10.42","11.02","11.22","11.42","12.02","12.22","12.42","13.02","13.22","13.42","14.02","14.23","14.44","15.04","15.24","15.44","16.06","16.26","16.47","17.08","17.28","17.50","18.11","18.31","18.50","19.07","19.27","19.43","20.02","20.22","20.40","20.57","21.27"
"Bellefontaine","05.53","06.16","06.36","06.56","07.16","07.40","08.00","08.21","08.43","09.03","09.25","09.47","10.07","10.27","10.47","11.07","11.27","11.47","12.07","12.27","12.47","13.07","13.27","13.47","14.07","14.28","14.49","15.09","15.29","15.49","16.11","16.32","16.53","17.14","17.33","17.55","18.16","18.35","18.54","19.11","19.31","19.47","20.06","20.26","20.44","21.01","21.31"
"Basso Cambo","05.55","06.18","06.38","06.58","07.18","07.42","08.03","08.24","08.46","09.06","09.28","09.50","10.10","10.30","10.50","11.10","11.30","11.50","12.10","12.30","12.50","13.10","13.30","13.50","14.10","14.31","14.52","15.12","15.32","15.52","16.14","16.35","16.56","17.17","17.36","17.58","18.19","18.38","18.57","19.14","19.34","19.50","20.09","20.29","20.47","21.04","21.34"
