"Marengo - SNCF","05.30","05.50","06.10","06.30","06.45","07.00","07.15","07.30","07.45","08.00","08.15","08.30","08.45","09.00","09.15","09.30","09.45","10.00","10.15","10.30","10.45","11.00","11.15","11.30","11.45","12.00","12.15","12.30","12.45","13.00","13.15","13.30","13.45","14.00","14.15","14.30","14.45","15.00","15.15","15.30","15.45","16.00","16.15","16.30","16.45","17.00","17.15","17.30","17.45","18.00","18.15","18.30","18.45","19.00","19.15","19.30","19.45","20.00","20.20","20.40","21.00"
"Jean Jaur&egrave;s","05.32","05.52","06.12","06.32","06.47","07.02","07.17","07.32","07.48","08.03","08.18","08.33","08.48","09.03","09.18","09.33","09.48","10.03","10.18","10.33","10.48","11.03","11.18","11.33","11.48","12.03","12.18","12.33","12.48","13.03","13.18","13.33","13.48","14.03","14.18","14.33","14.48","15.03","15.18","15.33","15.48","16.03","16.18","16.33","16.48","17.03","17.18","17.33","17.48","18.03","18.18","18.33","18.48","19.03","19.18","19.33","19.48","20.03","20.23","20.43","21.03"
"Fran&ccedil;ois Verdier","05.36","05.56","06.16","06.36","06.51","07.06","07.21","07.36","07.52","08.07","08.22","08.37","08.52","09.07","09.22","09.38","09.53","10.08","10.23","10.38","10.53","11.08","11.23","11.38","11.53","12.08","12.23","12.38","12.53","13.08","13.23","13.38","13.53","14.09","14.24","14.39","14.54","15.09","15.24","15.39","15.54","16.09","16.24","16.39","16.54","17.09","17.24","17.39","17.54","18.09","18.24","18.38","18.53","19.08","19.23","19.37","19.52","20.07","20.27","20.47","21.07"
"Esquirol","05.38","05.58","06.18","06.38","06.53","07.08","07.23","07.38","07.54","08.10","08.25","08.40","08.55","09.10","09.25","09.41","09.56","10.11","10.26","10.42","10.57","11.12","11.27","11.42","11.57","12.12","12.27","12.42","12.56","13.11","13.26","13.41","13.56","14.13","14.28","14.43","14.58","15.13","15.28","15.43","15.58","16.13","16.28","16.43","16.58","17.13","17.28","17.43","17.58","18.13","18.28","18.42","18.57","19.12","19.27","19.40","19.55","20.10","20.30","20.49","21.09"
"Cours Dillon","05.39","05.59","06.19","06.39","06.54","07.10","07.25","07.40","07.56","08.12","08.27","08.42","08.57","09.12","09.27","09.43","09.58","10.13","10.28","10.44","10.59","11.14","11.29","11.44","11.59","12.14","12.29","12.44","12.58","13.13","13.28","13.43","13.58","14.16","14.31","14.46","15.01","15.16","15.31","15.46","16.01","16.16","16.31","16.46","17.01","17.16","17.31","17.46","18.01","18.16","18.31","18.44","18.59","19.14","19.29","19.42","19.57","20.12","20.31","20.50","21.10"
"St Cyprien - R&eacute;publique","05.40","06.00","06.20","06.40","06.55","07.11","07.26","07.41","07.57","08.14","08.29","08.44","08.59","09.14","09.29","09.45","10.00","10.15","10.30","10.46","11.01","11.16","11.31","11.46","12.01","12.16","12.31","12.46","13.00","13.15","13.30","13.45","14.00","14.18","14.33","14.48","15.03","15.18","15.33","15.48","16.04","16.19","16.34","16.49","17.04","17.19","17.34","17.49","18.04","18.19","18.34","18.47","19.02","19.17","19.31","19.44","19.59","20.14","20.32","20.51","21.11"
"Patte d&rsquo;Oie","05.42","06.02","06.22","06.42","06.57","07.14","07.29","07.44","08.00","08.17","08.32","08.47","09.02","09.17","09.32","09.48","10.03","10.18","10.33","10.49","11.05","11.20","11.35","11.50","12.05","12.20","12.35","12.49","13.03","13.18","13.33","13.48","14.04","14.22","14.37","14.52","15.07","15.22","15.37","15.52","16.08","16.23","16.38","16.53","17.08","17.23","17.38","17.53","18.08","18.23","18.38","18.51","19.06","19.21","19.34","19.47","20.02","20.17","20.35","20.54","21.14"
"Ar&egrave;nes","05.45","06.05","06.25","06.45","07.00","07.17","07.32","07.47","08.06","08.23","08.38","08.53","09.08","09.23","09.38","09.54","10.09","10.24","10.39","10.55","11.11","11.26","11.41","11.56","12.11","12.26","12.41","12.54","13.08","13.23","13.38","13.53","14.09","14.27","14.42","14.57","15.12","15.27","15.42","15.57","16.13","16.28","16.43","16.58","17.13","17.28","17.43","17.58","18.13","18.28","18.42","18.55","19.10","19.25","19.38","19.51","20.06","20.21","20.39","20.58","21.18"
"Lyc&eacute;e Polyvalent","05.50","06.10","06.30","06.51","07.06","07.23","07.38","07.53","08.13","08.30","08.45","09.00","09.15","09.30","09.45","10.01","10.16","10.31","10.46","11.02","11.18","11.33","11.48","12.03","12.18","12.33","12.48","13.01","13.15","13.30","13.45","14.00","14.16","14.34","14.49","15.04","15.19","15.34","15.49","16.04","16.20","16.36","16.51","17.06","17.21","17.36","17.51","18.06","18.21","18.36","18.50","19.03","19.18","19.32","19.44","19.57","20.12","20.27","20.45","21.04","21.24"
"Mirail Universit&eacute;","05.54","06.14","06.35","06.56","07.11","07.28","07.43","07.58","08.18","08.35","08.50","09.05","09.20","09.35","09.50","10.06","10.21","10.36","10.51","11.07","11.23","11.38","11.53","12.08","12.23","12.38","12.53","13.06","13.20","13.35","13.50","14.05","14.21","14.39","14.54","15.09","15.24","15.39","15.54","16.09","16.25","16.41","16.56","17.11","17.26","17.41","17.56","18.11","18.26","18.41","18.55","19.08","19.23","19.37","19.49","20.02","20.17","20.32","20.50","21.08","21.28"
