"Colomiers Lyc&eacute;e Inter.","06.00","06.18","06.32","06.46","07.00","07.13","07.26","07.38","07.50","08.02","08.14","08.26","08.38","08.51","09.04","09.17","09.30","09.43","09.56","10.09","10.22","10.35","10.49","11.03","11.18","11.33","11.48","12.03","12.18","12.33","12.48","13.03","13.18","13.33","13.48","14.03","14.18","14.33","14.48","15.03","15.18","15.33","15.47","16.01","16.15","16.29","16.42","16.52","17.10","17.19","17.32","17.45","17.58","18.14","18.32","18.43","19.01","19.13","19.32","19.48","20.03","20.23","20.45"
"Monturon","06.01","06.19","06.33","06.47","07.01","07.14","07.27","07.39","07.51","08.03","08.15","08.27","08.39","08.52","09.05","09.18","09.31","09.44","09.57","10.10","10.23","10.36","10.50","11.04","11.19","11.34","11.49","12.04","12.19","12.34","12.49","13.04","13.19","13.34","13.49","14.04","14.19","14.34","14.49","15.04","15.19","15.34","15.48","16.02","16.16","16.30","16.43","16.53","17.11","17.20","17.33","17.46","17.59","18.15","18.33","18.44","19.02","19.14","19.33","19.49","20.04","20.24","20.46"
"Colomiers Relais bus","06.06","06.24","06.38","06.52","07.07","07.20","07.33","07.45","07.57","08.09","08.21","08.33","08.45","08.58","09.11","09.24","09.37","09.50","10.03","10.16","10.29","10.42","10.56","11.10","11.25","11.40","11.55","12.10","12.25","12.40","12.55","13.10","13.25","13.40","13.55","14.10","14.25","14.40","14.55","15.10","15.25","15.40","15.54","16.08","16.22","16.36","16.49","16.59","17.17","17.26","17.39","17.52","18.05","18.21","18.38","18.49","19.07","19.19","19.38","19.54","20.09","20.29","20.50"
"Colomiers Gare SNCF","06.10","06.28","06.42","06.56","07.11","07.24","07.37","07.49","08.01","08.13","08.25","08.37","08.49","09.02","09.15","09.28","09.41","09.54","10.07","10.20","10.33","10.46","11.00","11.14","11.29","11.44","11.59","12.14","12.29","12.44","12.59","13.14","13.29","13.44","13.59","14.14","14.29","14.44","14.59","15.14","15.29","15.44","15.58","16.12","16.26","16.40","16.53","17.03","17.21","17.30","17.43","17.56","18.09","18.25","18.42","18.53","19.11","19.23","19.42","19.58","20.13","20.33","20.54"
"Fontaine","06.17","06.35","06.49","07.04","07.19","07.32","07.46","07.58","08.10","08.22","08.34","08.46","08.58","09.11","09.24","09.37","09.50","10.03","10.16","10.29","10.42","10.55","11.09","11.23","11.38","11.53","12.08","12.23","12.37","12.52","13.07","13.22","13.37","13.52","14.07","14.22","14.37","14.52","15.07","15.22","15.37","15.52","16.06","16.20","16.34","16.48","17.01","17.11","17.29","17.38","17.51","18.04","18.17","18.33","18.49","19.00","19.18","19.30","19.49","20.04","20.19","20.39","21.00"
"Jardinerie","06.22","06.40","06.54","07.09","07.24","07.37","07.51","08.03","08.15","08.27","08.39","08.51","09.03","09.16","09.29","09.42","09.55","10.08","10.21","10.34","10.47","11.00","11.14","11.28","11.43","11.58","12.13","12.28","12.42","12.57","13.12","13.28","13.43","13.58","14.13","14.28","14.43","14.58","15.13","15.28","15.43","15.58","16.12","16.26","16.41","16.55","17.08","17.18","17.36","17.45","17.58","18.11","18.24","18.38","18.54","19.05","19.23","19.35","19.53","20.08","20.23","20.43","21.04"
"Airbus","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","17.21","&ndash;","17.48","18.01","18.14","18.27","18.40","&ndash;","19.07","&ndash;","19.37","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;"
"Bouriette","06.23","06.41","06.55","07.10","07.25","07.38","07.52","08.04","08.16","08.28","08.40","08.52","09.04","09.17","09.30","09.43","09.56","10.09","10.22","10.35","10.48","11.01","11.15","11.29","11.44","11.59","12.14","12.29","12.43","12.58","13.13","13.29","13.44","13.59","14.14","14.29","14.44","14.59","15.14","15.29","15.44","15.59","16.13","16.27","16.42","16.56","17.09","17.23","17.37","17.50","18.03","18.16","18.29","18.42","18.55","19.09","19.24","19.39","19.54","20.09","20.24","20.44","21.05"
"Bertier","06.24","06.42","06.56","07.11","07.26","07.39","07.53","08.05","08.17","08.29","08.41","08.53","09.05","09.18","09.31","09.44","09.57","10.10","10.23","10.36","10.49","11.02","11.16","11.30","11.45","12.00","12.15","12.30","12.44","12.59","13.14","13.30","13.45","14.00","14.15","14.30","14.45","15.00","15.15","15.30","15.45","16.00","16.14","16.28","16.43","16.57","17.10","17.24","17.38","17.51","18.04","18.17","18.30","18.43","18.56","19.10","19.25","19.40","19.55","20.10","20.25","20.45","21.06"
"Lemire (lyc&eacute;e h&ocirc;telier)","06.31","06.49","07.05","07.20","07.35","07.49","08.03","08.15","08.27","08.39","08.51","09.03","09.15","09.28","09.41","09.54","10.07","10.20","10.33","10.46","10.59","11.12","11.26","11.40","11.55","12.10","12.25","12.39","12.53","13.08","13.23","13.40","13.55","14.10","14.25","14.40","14.55","15.10","15.25","15.40","15.55","16.10","16.24","16.39","16.54","17.08","17.21","17.35","17.49","18.02","18.15","18.28","18.41","18.54","19.07","19.21","19.36","19.51","20.03","20.18","20.33","20.52","21.13"
"Ar&egrave;nes","06.37","06.55","07.11","07.26","07.41","07.56","08.10","08.22","08.34","08.46","08.58","09.10","09.21","09.34","09.47","10.00","10.13","10.26","10.39","10.52","11.05","11.18","11.32","11.46","12.01","12.16","12.31","12.45","12.59","13.14","13.29","13.46","14.01","14.16","14.31","14.46","15.01","15.16","15.31","15.46","16.01","16.16","16.30","16.48","17.03","17.17","17.30","17.44","17.58","18.11","18.24","18.35","18.47","19.00","19.13","19.27","19.42","19.56","20.08","20.23","20.38","20.57","21.18"
