"Ar&egrave;nes","05.35","05.55","06.09","06.23","06.35","06.47","06.59","07.11","07.23","07.35","07.47","07.59","08.11","08.23","08.35","08.47","08.59","09.14","09.29","09.44","09.59","10.14","10.29","10.44","10.59","11.14","11.29","11.44","11.59","12.14","12.29","12.44","12.59","13.14","13.29","13.44","13.59","14.14","14.29","14.44","14.59","15.14","15.28","15.42","15.56","16.10","16.24","16.38","16.52","17.05","17.18","17.31","17.44","17.57","18.10","18.23","18.36","18.49","19.02","19.16","19.30","19.45","20.00","20.15","20.30"
"Lemire (lyc&eacute;e h&ocirc;telier)","05.39","05.59","06.13","06.27","06.39","06.51","07.03","07.15","07.27","07.39","07.51","08.03","08.15","08.27","08.39","08.51","09.03","09.18","09.33","09.48","10.03","10.18","10.33","10.48","11.03","11.18","11.33","11.48","12.03","12.18","12.33","12.48","13.03","13.18","13.33","13.48","14.03","14.18","14.33","14.48","15.03","15.18","15.32","15.46","16.00","16.14","16.28","16.42","16.56","17.09","17.22","17.35","17.48","18.01","18.14","18.27","18.40","18.53","19.06","19.20","19.34","19.49","20.04","20.19","20.34"
"Bertier","05.47","06.07","06.21","06.35","06.47","06.59","07.11","07.23","07.35","07.49","08.01","08.14","08.27","08.39","08.51","09.02","09.13","09.28","09.43","09.58","10.13","10.28","10.43","10.58","11.12","11.27","11.42","11.57","12.12","12.27","12.42","12.57","13.12","13.27","13.42","13.57","14.12","14.27","14.42","14.57","15.13","15.28","15.42","15.56","16.11","16.25","16.39","16.53","17.07","17.20","17.33","17.46","17.59","18.11","18.24","18.37","18.50","19.03","19.15","19.29","19.43","19.58","20.13","20.28","20.43"
"Bouriette","05.48","06.08","06.22","06.36","06.48","07.00","07.12","07.24","07.36","07.50","08.02","08.15","08.28","08.40","08.52","09.03","09.14","09.29","09.44","09.59","10.14","10.29","10.44","10.59","11.13","11.28","11.43","11.58","12.13","12.28","12.43","12.58","13.13","13.28","13.43","13.58","14.13","14.28","14.43","14.58","15.14","15.29","15.43","15.57","16.12","16.26","16.40","16.54","17.08","17.21","17.34","17.47","18.00","18.12","18.25","18.38","18.51","19.04","19.16","19.30","19.44","19.59","20.14","20.29","20.44"
"Airbus","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","07.14","&ndash;","07.38","&ndash;","08.04","08.17","08.30","08.42","08.54","&ndash;","09.16","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;"
"Jardinerie","05.49","06.09","06.23","06.37","06.49","07.01","07.16","07.25","07.40","07.51","08.06","08.19","08.32","08.44","08.56","09.04","09.18","09.30","09.45","10.00","10.15","10.30","10.45","11.00","11.14","11.29","11.44","11.59","12.14","12.29","12.44","12.59","13.14","13.29","13.44","13.59","14.14","14.29","14.44","14.59","15.15","15.30","15.44","15.58","16.13","16.27","16.41","16.55","17.09","17.22","17.35","17.48","18.01","18.13","18.26","18.39","18.52","19.05","19.17","19.31","19.45","20.00","20.15","20.30","20.45"
"Fontaine","05.54","06.14","06.28","06.42","06.54","07.06","07.21","07.30","07.45","07.56","08.11","08.24","08.37","08.49","09.01","09.09","09.23","09.35","09.50","10.05","10.20","10.35","10.50","11.05","11.19","11.34","11.49","12.04","12.19","12.34","12.49","13.04","13.19","13.34","13.49","14.04","14.19","14.34","14.49","15.04","15.20","15.35","15.49","16.03","16.18","16.32","16.46","17.00","17.14","17.27","17.40","17.53","18.06","18.18","18.31","18.44","18.57","19.09","19.21","19.35","19.49","20.04","20.19","20.34","20.49"
"Colomiers Gare SNCF","06.02","06.22","06.36","06.50","07.02","07.14","07.29","07.38","07.53","08.04","08.20","08.33","08.46","08.58","09.10","09.18","09.32","09.44","09.59","10.14","10.29","10.44","10.59","11.14","11.28","11.43","11.58","12.13","12.28","12.43","12.58","13.13","13.28","13.43","13.58","14.13","14.28","14.43","14.58","15.13","15.29","15.44","15.58","16.12","16.27","16.41","16.55","17.09","17.23","17.36","17.49","18.02","18.15","18.27","18.40","18.53","19.05","19.17","19.29","19.43","19.57","20.12","20.27","20.42","20.57"
"Colomiers Relais bus","06.07","06.27","06.41","06.55","07.07","07.19","07.34","07.43","07.58","08.09","08.25","08.38","08.51","09.03","09.15","09.23","09.37","09.49","10.04","10.19","10.34","10.49","11.04","11.19","11.33","11.48","12.03","12.18","12.33","12.48","13.03","13.18","13.33","13.48","14.03","14.18","14.33","14.48","15.03","15.18","15.34","15.49","16.04","16.18","16.33","16.47","17.01","17.15","17.29","17.42","17.55","18.08","18.21","18.33","18.46","18.59","19.10","19.22","19.34","19.48","20.02","20.17","20.32","20.47","21.02"
"Monturon","06.12","06.32","06.46","07.00","07.12","07.24","07.39","07.48","08.03","08.14","08.30","08.43","08.56","09.09","09.21","09.29","09.43","09.55","10.10","10.25","10.40","10.55","11.10","11.25","11.39","11.54","12.09","12.24","12.39","12.54","13.09","13.24","13.39","13.54","14.09","14.24","14.39","14.54","15.09","15.24","15.40","15.55","16.11","16.25","16.40","16.54","17.08","17.22","17.36","17.49","18.02","18.14","18.27","18.39","18.52","19.04","19.15","19.27","19.39","19.53","20.07","20.22","20.37","20.52","21.07"
"Colomiers Lyc&eacute;e Inter.","06.13","06.33","06.47","07.01","07.13","07.25","07.40","07.49","08.04","08.15","08.31","08.44","08.57","09.10","09.22","09.30","09.44","09.56","10.11","10.26","10.41","10.56","11.11","11.26","11.40","11.55","12.10","12.25","12.40","12.55","13.10","13.25","13.40","13.55","14.10","14.25","14.40","14.55","15.10","15.25","15.41","15.56","16.12","16.26","16.41","16.55","17.09","17.23","17.37","17.50","18.03","18.15","18.28","18.40","18.53","19.05","19.16","19.28","19.40","19.54","20.08","20.23","20.38","20.53","21.08"
