"St-Orens Lyc&eacute;e","05.55","06.25","07.10","07.45","08.15","08.45","09.15","09.45","10.15","10.45","11.25","12.05","12.45","13.25","14.05","14.45","15.25","16.05","16.35","17.05","17.35","18.05","18.35","19.05","19.35","20.15","21.00"
"Labouilhe","05.58","06.28","07.13","07.48","08.18","08.48","09.18","09.48","10.18","10.48","11.28","12.08","12.48","13.28","14.08","14.48","15.28","16.08","16.38","17.08","17.38","18.08","18.38","19.08","19.38","20.18","21.03"
"Coustou","06.01","06.31","07.17","07.52","08.22","08.51","09.21","09.52","10.22","10.52","11.32","12.12","12.51","13.31","14.12","14.52","15.32","16.12","16.42","17.12","17.42","18.12","18.41","19.11","19.41","20.21","21.06"
"Ctre Cial St-Orens","06.05","06.35","07.21","07.56","08.26","08.55","09.25","09.56","10.26","10.56","11.36","12.16","12.55","13.35","14.17","14.57","15.37","16.17","16.47","17.17","17.46","18.16","18.45","19.15","19.45","20.25","21.10"
"Chouvel","06.08","06.38","07.24","07.59","08.29","08.58","09.28","09.59","10.29","10.59","11.39","12.19","12.58","13.38","14.21","15.01","15.40","16.20","16.50","17.20","17.49","18.19","18.48","19.18","19.48","20.27","21.12"
"Entiore","06.11","06.41","07.27","08.02","08.32","09.01","09.31","10.02","10.32","11.02","11.42","12.22","13.01","13.41","14.25","15.05","15.44","16.24","16.54","17.24","17.53","18.23","18.51","19.21","19.51","20.30","21.15"
"Ribaute","06.13","06.43","07.29","08.04","08.34","09.03","09.33","10.04","10.34","11.04","11.44","12.24","13.03","13.43","14.28","15.08","15.46","16.26","16.57","17.27","17.56","18.26","18.53","19.23","19.53","20.32","21.17"
"Sali&egrave;ge","06.18","06.48","07.34","08.09","08.39","09.08","09.38","10.09","10.39","11.09","11.49","12.29","13.08","13.48","14.34","15.14","15.52","16.32","17.03","17.33","18.02","18.32","18.58","19.28","19.58","20.37","21.22"
"A&eacute;rostiers","06.19","06.49","07.35","08.10","08.40","09.09","09.39","10.10","10.40","11.10","11.50","12.30","13.09","13.49","14.35","15.15","15.53","16.33","17.04","17.34","18.03","18.33","18.59","19.29","19.59","20.38","21.23"
"Balma Gramont","06.25","06.55","07.41","08.16","08.46","09.15","09.45","10.16","10.46","11.16","11.56","12.36","13.15","13.55","14.41","15.21","15.59","16.39","17.10","17.40","18.09","18.39","19.05","19.35","20.05","20.44","21.29"
